Rank,Molecule,Candidate Type,Entity Class,Related Receptors,GPR62,GPR61,GPR135,MT2,5-HT6,GPCRLigNet Score,ML Prediction,Experimental Validation,Evidence Level,Evidence Sentence,Literature Score,Receptor Relevance,Priority Score,Source,Years,PMIDs,PMCIDs,Journals,DOIs,Article Titles,Article Links,PubChem CID,SMILES,Paper Count,Interpretation,Recommended Next Step,Presentation Priority Score,Priority
3,Retinaldehyde,Close/related orphan GPCR candidate,Chemical / small molecule,GPR135,No,No,Yes,No,No,0.9044342041015625,High,Unvalidated,E,,3,0.75,0.7813822326660157,PubMed,2014,24503482,,Molecular phylogenetics and evolution,10.1016/j.ympev.2014.01.022,Sequence-structure based phylogeny of GPCR Class A Rhodopsin receptors.,https://pubmed.ncbi.nlm.nih.gov/24503482/,638015,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=O)C)C,1,Retinaldehyde currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority,0.6801605224609375,Medium
26,Haloperidol,5-HT6 exploratory candidate,Chemical / small molecule,5-HT6 receptor,No,No,No,No,Yes,0.8926304578781128,High,Indirect/context evidence,D,Effect of 5-HT6 Receptor Ligands Combined with Haloperidol or Risperidone on Antidepressant-/Anxiolytic-Like Behavior and BDNF Regulation in Hippocampus and Prefrontal Cortex of Rats.,21,0.25,0.6847097976207733,PubMed + PMC,2013; 2014; 2021; 2023,23954911; 24135200; 34211274; 37259305,PMC3889519; PMC8240864; PMC9967858,"European journal of pharmacology; Neuropsychiatric disease and treatment; Pharmaceuticals (Basel, Switzerland); Psychopharmacology",10.1007/s00213-013-3234-2; 10.1016/j.ejphar.2013.10.005; 10.2147/NDT.S309818; 10.3390/ph16020154,"Selective 5-HT6 Receptor Ligands (Agonist and Antagonist) Show Different Effects on Antipsychotic Drug-Induced Metabolic Dysfunctions in Rats. | Effect of 5-HT6 Receptor Ligands Combined with Haloperidol or Risperidone on Antidepressant-/Anxiolytic-Like Behavior and BDNF Regulation in Hippocampus and Prefrontal Cortex of Rats. | Effect of olanzapine on scopolamine induced deficits in differential reinforcement of low rate 72s (DRL-72s) schedule in rats: involvement of the serotonergic receptors in restoring the deficits. | Co-administration of 5-HT6 receptor antagonists with clozapine, risperidone, and a 5-HT2A receptor antagonist: effects on prepulse inhibition in rats.",https://pubmed.ncbi.nlm.nih.gov/37259305/ | https://pubmed.ncbi.nlm.nih.gov/34211274/ | https://pubmed.ncbi.nlm.nih.gov/24135200/ | https://pubmed.ncbi.nlm.nih.gov/23954911/,3559,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,4,"Haloperidol appears in literature related to 5-HT6 receptor, but direct receptor interaction has not been established.",Review full article for direct receptor evidence,0.6730782747268677,Medium
2,luzindole,MT2-related exploratory candidate,Chemical / small molecule,MT2 receptor,No,No,No,Yes,No,0.9529802799224854,High,Unvalidated,E,,68,0.5,0.8444371819496155,PubMed + PMC,2022; 2023; 2025; 2026,34642909; 34910685; 35179400; 35247789; 35455066; 35588335; 35682961; 35795373; 35932205; 36018566; 36592515; 36799176; 36982863; 37394096; 37569306; 37717795; 37742475; 37834395; 39537039; 40801619; 40871079; 42118091; 42166832,PMC10051954; PMC10419066; PMC10573520; PMC11072751; PMC12345928; PMC12389105; PMC13165690; PMC9029934; PMC9181011; PMC9251177; PMC9942260,"Animal science journal = Nihon chikusan Gakkaiho; Biochemical and biophysical research communications; Cells; Cellular and molecular life sciences : CMLS; Cryobiology; Current eye research; FASEB journal : official publication of the Federation of American Societies for Experimental Biology; Free radical biology & medicine; Frontiers in cardiovascular medicine; International journal of molecular sciences; Journal of molecular endocrinology; Life (Basel, Switzerland); Life sciences; Molecular medicine reports; Pharmaceutics; Reproduction in domestic animals = Zuchthygiene; Reproductive sciences (Thousand Oaks, Calif.); The Journal of nutritional biochemistry; Theriogenology; Tissue & cell",10.1007/s00018-022-04330-1; 10.1007/s43032-021-00768-z; 10.1016/j.bbrc.2023.09.050; 10.1016/j.cryobiol.2026.105645; 10.1016/j.freeradbiomed.2023.09.012; 10.1016/j.jnutbio.2024.109800; 10.1016/j.lfs.2023.121906; 10.1016/j.theriogenology.2022.12.036; 10.1016/j.tice.2022.101763; 10.1080/02713683.2021.2022163; 10.1096/fj.202601214R; 10.1111/asj.13760; 10.1111/rda.14237; 10.1530/JME-21-0155; 10.3389/fcvm.2022.885293; 10.3390/cells14151187; 10.3390/ijms23116284; 10.3390/ijms24065789; 10.3390/ijms241511931; 10.3390/ijms241914947; 10.3390/life12040574; 10.3390/pharmaceutics17081057; 10.3892/mmr.2023.12958,"Protective effects of melatonin on mouse ovarian tissue against oxidative stress and ferroptosis may involve the MT1 receptor. | Orchestration of PKC-Mediated Inhibition and Calcium Release-Mediated Activation of BK Currents in Rat Vascular Smooth Muscle Cells by Melatonin Confers a BK-Channel-Dependent Restraint on Melatonin-Induced Vasocontraction. | Preclinical Assessment of a Metformin-Melatonin Combination: Antinociceptive Synergism. | Enhanced Modulation of CaMKII in Mouse Hippocampus by an Antidepressant-like Dose of Melatonin/Ketamine Combination. | Proposed receptor-mediated mechanisms of melatonin in nitroglycerin-induced migraine-like hyperalgesic conditions in rats. | Melanogenesis Is Directly Affected by Metabolites of Melatonin in Human Melanoma Cells. | Effects of melatonin on dopaminergic neuron development via IP3-mediated mitochondrial Ca2+ regulation in autism spectrum disorder. | Melatonin alleviates early brain injury by inhibiting the NRF2-mediated ferroptosis pathway after subarachnoid hemorrhage. | Blockade of Melatonin Receptors Abolishes Its Antiarrhythmic Effect and Slows Ventricular Conduction in Rat Hearts. | Agomelatine inhibits platelet aggregation through melatonin receptor-dependent and independent mechanisms. | Regulation of Aqueous Humor Secretion by Melatonin in Porcine Ciliary Epithelium. | Melatonin attenuates high glucose‑induced endothelial cell pyroptosis by activating the Nrf2 pathway to inhibit NLRP3 inflammasome activation. | Effects of melatonin on development and hormone secretion of sheep theca cells in vitro. | Melatonin protects sheep endometrial epithelial cells against lipopolysaccharide-induced inflammation in vitro. | Regulatory role of melatonin on epidermal growth factor receptor, Type I collagen α1 chain, and caveolin 1 in granulosa cells of sheep antral follicles. | Melatonin Inhibits NF-κB/CREB/Runx2 Signaling and Alleviates Aortic Valve Calcification. | Bos taurus and Cervus elaphus as Non-Seasonal/Seasonal Models for the Role of Melatonin Receptors in the Spermatozoon. | Therapeutic potential of a single-dose melatonin in the attenuation of cardiac ischemia/reperfusion injury in prediabetic obese rats. | Anti-Inflammatory Effects of Melatonin in Rats with Induced Type 2 Diabetes Mellitus. | The melatonin MT2 receptor is involved in the anti-apoptotic effects of melatonin in rats with type 2 diabetes mellitus. | Copolymer Micelle-administered Melatonin Ameliorates Hyperosmolarity-induced Ocular Surface Damage through Regulating PINK1-mediated Mitophagy. | Effects of melatonin on the production of GnRH and LH in luteal cells of pregnant sows. | Melatonin Attenuates Cyclophosphamide-Induced Primordial Follicle Loss by Interaction with MT1 Receptor and Modulation of PTEN/Akt/FOXO3a Proteins in the Mouse Ovary.",https://pubmed.ncbi.nlm.nih.gov/42166832/ | https://pubmed.ncbi.nlm.nih.gov/42118091/ | https://pubmed.ncbi.nlm.nih.gov/40871079/ | https://pubmed.ncbi.nlm.nih.gov/40801619/ | https://pubmed.ncbi.nlm.nih.gov/39537039/ | https://pubmed.ncbi.nlm.nih.gov/37834395/ | https://pubmed.ncbi.nlm.nih.gov/37742475/ | https://pubmed.ncbi.nlm.nih.gov/37717795/ | https://pubmed.ncbi.nlm.nih.gov/37569306/ | https://pubmed.ncbi.nlm.nih.gov/37394096/ | https://pubmed.ncbi.nlm.nih.gov/36982863/ | https://pubmed.ncbi.nlm.nih.gov/36799176/ | https://pubmed.ncbi.nlm.nih.gov/36592515/ | https://pubmed.ncbi.nlm.nih.gov/36018566/ | https://pubmed.ncbi.nlm.nih.gov/35932205/ | https://pubmed.ncbi.nlm.nih.gov/35795373/ | https://pubmed.ncbi.nlm.nih.gov/35682961/ | https://pubmed.ncbi.nlm.nih.gov/35588335/ | https://pubmed.ncbi.nlm.nih.gov/35455066/ | https://pubmed.ncbi.nlm.nih.gov/35247789/ | https://pubmed.ncbi.nlm.nih.gov/35179400/ | https://pubmed.ncbi.nlm.nih.gov/34910685/ | https://pubmed.ncbi.nlm.nih.gov/34642909/,122162,CC(=O)NCCC1=C(NC2=CC=CC=C21)CC3=CC=CC=C3,23,luzindole currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority,0.6717881679534912,Medium
7,Sirolimus,5-HT6 exploratory candidate,Chemical / small molecule,5-HT6 receptor,No,No,No,No,Yes,0.997548520565033,High,Unvalidated,E,,19,0.25,0.7489065383672715,PubMed + PMC,2020; 2021; 2023; 2025,32329240; 32512114; 34576341; 36830733; 40069248; 40757510,PMC11897353; PMC7207164; PMC8467191; PMC9953062,Biomolecules; EMBO molecular medicine; International journal of molecular sciences; Journal of neurochemistry; Progress in neurobiology; Scientific reports,10.1016/j.pneurobio.2020.101846; 10.1038/s41598-025-92755-6; 10.1111/jnc.70179; 10.15252/emmm.201910605; 10.3390/biom13020364; 10.3390/ijms221810178,5-HT6 Receptor Inverse Agonists Modulate Diabetic Neuropathic Pain in Female Rats: Evidence for 5-HT6 Receptor Constitutive Activity. | Novel 5-HT6R modulators as mTOR-dependent neuronal autophagy inductors. | The Constitutive Activity of Spinal 5-HT6 Receptors Contributes to Diabetic Neuropathic Pain in Rats. | Blockade of Serotonin 5-HT6 Receptor Constitutive Activity Alleviates Cognitive Deficits in a Preclinical Model of Neurofibromatosis Type 1. | mTOR activation by constitutively active serotonin6 receptors as new paradigm in neuropathic pain and its treatment. | Early 5-HT6 receptor blockade prevents symptom onset in a model of adolescent cannabis abuse.,https://pubmed.ncbi.nlm.nih.gov/40757510/ | https://pubmed.ncbi.nlm.nih.gov/40069248/ | https://pubmed.ncbi.nlm.nih.gov/36830733/ | https://pubmed.ncbi.nlm.nih.gov/34576341/ | https://pubmed.ncbi.nlm.nih.gov/32512114/ | https://pubmed.ncbi.nlm.nih.gov/32329240/,5284616,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC,6,Sirolimus currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority,0.6610291123390197,Medium
13,SB699551,5-HT6 exploratory candidate,Chemical / small molecule,5-HT6 receptor,No,No,No,No,Yes,0.9950779676437378,High,Unvalidated,E,,3,0.25,0.7153006789684296,PubMed,2019,31233821,,Behavioural brain research,10.1016/j.bbr.2019.112055,"The blockade of the serotoninergic receptors 5-HT5A, 5-HT6 and 5-HT7 in the basolateral amygdala, but not in the hippocampus facilitate the extinction of fear memory.",https://pubmed.ncbi.nlm.nih.gov/31233821/,11983346,CN(C)CCN(CC1=CC=C(C=C1)C2=CC=C(C=C2)CNCCC3=CC=CC=C3)C(=O)CCC4CCCC4.Cl.Cl,1,SB699551 currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority,0.6595467805862426,Medium
60,hypidone hydrochloride,5-HT6 exploratory candidate,Chemical / small molecule,5-HT6 receptor,No,No,No,No,Yes,0.7139524221420288,Moderate,Direct receptor evidence,C,"5-HT6 receptor agonist and memory-enhancing properties of hypidone hydrochloride (YL-0919), a novel 5-HT1A receptor partial agonist and SSRI.",3,0.25,0.5325690743923188,PubMed,2018,29805118,,Neuropharmacology,10.1016/j.neuropharm.2018.05.027,"5-HT6 receptor agonist and memory-enhancing properties of hypidone hydrochloride (YL-0919), a novel 5-HT1A receptor partial agonist and SSRI.",https://pubmed.ncbi.nlm.nih.gov/29805118/,122412736,C1CN(CCC1(CN2C=CC=CC2=O)O)CC3=CC=CC=C3.Cl,1,hypidone hydrochloride has experimental receptor evidence involving 5-HT6 receptor and is being evaluated as a possible GPR62 candidate.,Review pharmacology and consider experimental testing,0.6533714532852172,Medium
9,Naloxone,MT2-related exploratory candidate,Chemical / small molecule,MT2 receptor,No,No,No,Yes,No,0.9209599494934082,High,Unvalidated,E,,3,0.5,0.7296239671707153,PubMed + PMC,2025,40871079,PMC12389105,Pharmaceutics,10.3390/pharmaceutics17081057,Preclinical Assessment of a Metformin-Melatonin Combination: Antinociceptive Synergism.,https://pubmed.ncbi.nlm.nih.gov/40871079/,5284596,C=CCN1CCC23C4C(=O)CCC2(C1CC5=C3C(=C(C=C5)O)O4)O,1,Naloxone currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority,0.6525759696960449,Medium
53,Donepezil,5-HT6 exploratory candidate,Chemical / small molecule,5-HT6 receptor,No,No,No,No,Yes,0.7118600010871887,Moderate,Direct receptor evidence,C,The 5-HT6 receptor antagonist idalopirdine potentiates the effects of donepezil on gamma oscillations in the frontal cortex of anesthetized and awake rats without affecting sleep-wake architecture.,24,0.25,0.5732090007066728,PubMed + PMC,2013; 2014; 2016; 2017; 2021,24135200; 25297016; 27039041; 27469080; 27560283; 27647493; 34095437,PMC8165732,"Alzheimer's & dementia (New York, N. Y.); European journal of medicinal chemistry; European journal of pharmacology; Neuropharmacology; The European journal of neuroscience; The Lancet. Neurology",10.1002/trc2.12136; 10.1016/S1474-4422(14)70198-X; 10.1016/j.ejmech.2016.08.016; 10.1016/j.ejphar.2013.10.005; 10.1016/j.neuropharm.2016.03.043; 10.1016/j.neuropharm.2016.09.017; 10.1111/ejn.13354,"Intepirdine as adjunctive therapy to donepezil for mild-to-moderate Alzheimer's disease: A randomized, placebo-controlled, phase 3 clinical trial (MINDSET). | The 5-HT6 receptor antagonist idalopirdine potentiates the effects of donepezil on gamma oscillations in the frontal cortex of anesthetized and awake rats without affecting sleep-wake architecture. | Novel multi-target-directed ligands for Alzheimer's disease: Combining cholinesterase inhibitors and 5-HT6 receptor antagonists. Design, synthesis and biological evaluation. | Reducing falls in Parkinson's disease: interactions between donepezil and the 5-HT6 receptor antagonist idalopirdine on falls in a rat model of impaired cognitive control of complex movements. | The 5-HT6 receptor antagonist idalopirdine potentiates the effects of acetylcholinesterase inhibition on neuronal network oscillations and extracellular acetylcholine levels in the rat dorsal hippocampus. | Safety and efficacy of idalopirdine, a 5-HT6 receptor antagonist, in patients with moderate Alzheimer's disease (LADDER): a randomised, double-blind, placebo-controlled phase 2 trial. | Effect of olanzapine on scopolamine induced deficits in differential reinforcement of low rate 72s (DRL-72s) schedule in rats: involvement of the serotonergic receptors in restoring the deficits.",https://pubmed.ncbi.nlm.nih.gov/34095437/ | https://pubmed.ncbi.nlm.nih.gov/27647493/ | https://pubmed.ncbi.nlm.nih.gov/27560283/ | https://pubmed.ncbi.nlm.nih.gov/27469080/ | https://pubmed.ncbi.nlm.nih.gov/27039041/ | https://pubmed.ncbi.nlm.nih.gov/25297016/ | https://pubmed.ncbi.nlm.nih.gov/24135200/,3152,COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC,7,Donepezil has experimental receptor evidence involving 5-HT6 receptor and is being evaluated as a possible GPR62 candidate.,Review pharmacology and consider experimental testing,0.6521160006523131,Medium
17,volinanserin,5-HT6 exploratory candidate,Chemical / small molecule,5-HT6 receptor,No,No,No,No,Yes,0.9735018610954285,High,Unvalidated,E,,6,0.25,0.7072762097120285,PubMed + PMC,2013; 2014,23954911; 25287308,PMC3889519,Acta neuropsychiatrica; Psychopharmacology,10.1007/s00213-013-3234-2; 10.1111/j.1601-5215.2012.00669.x,"Co-administration of 5-HT6 receptor antagonists with clozapine, risperidone, and a 5-HT2A receptor antagonist: effects on prepulse inhibition in rats. | 5-HT depletion, but not 5-HT1A antagonist, prevents the anxiolytic-like effect of citalopram in rat contextual conditioned fear stress model.",https://pubmed.ncbi.nlm.nih.gov/23954911/ | https://pubmed.ncbi.nlm.nih.gov/25287308/,5311271,COC1=CC=CC(=C1OC)C(C2CCN(CC2)CCC3=CC=C(C=C3)F)O,2,volinanserin currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority,0.6466011166572571,Medium
19,Doxorubicin,5-HT6 exploratory candidate,Chemical / small molecule,5-HT6 receptor,No,No,No,No,Yes,0.9690977334976196,High,Unvalidated,E,,3,0.25,0.6984135267734528,PubMed,2021,33439019,,Journal of medicinal chemistry,10.1021/acs.jmedchem.0c02009,Imidazopyridine-Based 5-HT6 Receptor Neutral Antagonists: Impact of N1-Benzyl and N1-Phenylsulfonyl Fragments on Different Receptor Conformational States.,https://pubmed.ncbi.nlm.nih.gov/33439019/,31703,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O,1,Doxorubicin currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority,0.6439586400985717,Medium
14,Dexamethasone,MT2-related exploratory candidate,Chemical / small molecule,MT2 receptor,No,No,No,Yes,No,0.9021515846252441,High,Unvalidated,E,,0,0.5,0.7113985300064087,PubMed,2025,40480639,,Brain research,10.1016/j.brainres.2025.149760,Corticosteroid-induced gene expression is attenuated in the hippocampus of mice with model of post-traumatic stress disorder.,https://pubmed.ncbi.nlm.nih.gov/40480639/,5743,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C,1,Dexamethasone currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority,0.6412909507751464,Medium
15,PHTPP,MT2-related exploratory candidate,Chemical / small molecule,MT2 receptor,No,No,No,Yes,No,0.8973512053489685,High,Unvalidated,E,,1,0.5,0.7102782834768295,PubMed,2022,34971752,,Gene,10.1016/j.gene.2021.146128,β-Estradiol inhibits melatonin synthesis and melatonin receptor expression in sheep granulosa cells.,https://pubmed.ncbi.nlm.nih.gov/34971752/,11201035,C1=CC=C(C=C1)C2=NN3C(=CC(=NC3=C2C4=CC=C(C=C4)O)C(F)(F)F)C(F)(F)F,1,PHTPP currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority,0.6384107232093811,Medium
23,RS 67333,5-HT6 exploratory candidate,Chemical / small molecule,5-HT6 receptor,No,No,No,No,Yes,0.9532891511917114,High,Unvalidated,E,,3,0.25,0.6881379482746125,PubMed,2015,26187692,,Behavioural brain research,10.1016/j.bbr.2015.07.020,Chronic activation of 5-HT4 receptors or blockade of 5-HT6 receptors improve memory performances.,https://pubmed.ncbi.nlm.nih.gov/26187692/,183782,CCCCN1CCC(CC1)CCC(=O)C2=CC(=C(C=C2OC)N)Cl,1,RS 67333 currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority,0.6344734907150268,Medium
18,C-Peptide,MT2-related exploratory candidate,Chemical / small molecule,MT2 receptor,No,No,No,Yes,No,0.8889027237892151,High,Unvalidated,E,,2,0.5,0.7067867704629899,PubMed + PMC,2024,39180581,PMC12716172,Diabetologia,10.1007/s00125-024-06256-8,Genetics of glucose homeostasis in pregnancy and postpartum.,https://pubmed.ncbi.nlm.nih.gov/39180581/,16157840,CC(C)CC(C(=O)NC(C)C(=O)NC(CC(C)C)C(=O)NC(CCC(=O)O)C(=O)NCC(=O)NC(CO)C(=O)NC(CC(C)C)C(=O)NC(CCC(=O)N)C(=O)O)NC(=O)C1CCCN1C(=O)C(CCC(=O)N)NC(=O)C(CC(C)C)NC(=O)C(CO)NC(=O)CNC(=O)C(C)NC(=O)CNC(=O)C2CCCN2C(=O)CNC(=O)CNC(=O)CNC(=O)C(CC(C)C)NC(=O)C(CCC(=O)O)NC(=O)C(C(C)C)NC(=O)C(CCC(=O)N)NC(=O)CNC(=O)C(C(C)C)NC(=O)C(CCC(=O)N)NC(=O)C(CC(C)C)NC(=O)C(CC(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(C)NC(=O)C(CCC(=O)O)N,1,C-Peptide currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority,0.633341634273529,Medium
16,N-pentanoyl-2-benzyltryptamine,MT2-related exploratory candidate,Chemical / small molecule,MT2 receptor,No,No,No,Yes,No,0.8888981342315674,High,Unvalidated,E,,3,0.5,0.7087837872505188,PubMed,2025,39537039,,The Journal of nutritional biochemistry,10.1016/j.jnutbio.2024.109800,Proposed receptor-mediated mechanisms of melatonin in nitroglycerin-induced migraine-like hyperalgesic conditions in rats.,https://pubmed.ncbi.nlm.nih.gov/39537039/,3467177,CCCCC(=O)NCCC1=C(NC2=CC=CC=C21)CC3=CC=CC=C3,1,N-pentanoyl-2-benzyltryptamine currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority,0.6333388805389404,Medium
25,efavirenz,5-HT6 exploratory candidate,Chemical / small molecule,5-HT6 receptor,No,No,No,No,Yes,0.9462389349937439,High,Unvalidated,E,,4,0.25,0.6855553077459335,PubMed + PMC,2016,27157251,PMC4914440,Pharmacological research,10.1016/j.phrs.2016.04.028,Molecular mechanisms of serotonergic action of the HIV-1 antiretroviral efavirenz.,https://pubmed.ncbi.nlm.nih.gov/27157251/,64139,C1CC1C#CC2(C3=C(C=CC(=C3)Cl)NC(=O)O2)C(F)(F)F,1,efavirenz currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority,0.6302433609962463,Medium
22,Reboxetine,5-HT6 exploratory candidate,Chemical / small molecule,5-HT6 receptor,No,No,No,No,Yes,0.9455323815345764,High,Unvalidated,E,,6,0.25,0.6890960479974747,PubMed,2019,30312638,,Behavioural brain research,10.1016/j.bbr.2018.10.004,Novel antagonists of 5-HT6 and/or 5-HT7 receptors affect the brain monoamines metabolism and enhance the anti-immobility activity of different antidepressants in rats.,https://pubmed.ncbi.nlm.nih.gov/30312638/,127151,CCOC1=CC=CC=C1OC(C2CNCCO2)C3=CC=CC=C3,1,Reboxetine currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority,0.6298194289207458,Medium
27,PZ-1444,5-HT6 exploratory candidate,Chemical / small molecule,5-HT6 receptor,No,No,No,No,Yes,0.9384394288063049,High,Unvalidated,E,,6,0.25,0.6844856287240982,PubMed,2021; 2025,33439019; 40885239,,European journal of pharmacology; Journal of medicinal chemistry,10.1016/j.ejphar.2025.178099; 10.1021/acs.jmedchem.0c02009,Serotonin type 6 receptor inverse agonists and neutral antagonists inhibit defecation: relevance to intestinal motility disorders. | Imidazopyridine-Based 5-HT6 Receptor Neutral Antagonists: Impact of N1-Benzyl and N1-Phenylsulfonyl Fragments on Different Receptor Conformational States.,https://pubmed.ncbi.nlm.nih.gov/40885239/ | https://pubmed.ncbi.nlm.nih.gov/33439019/,126720440,CCC1=NC2=C(C=CN=C2N1CC3=CC(=CC=C3)F)N4CCNCC4,2,PZ-1444 currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority,0.6255636572837829,Medium
28,"2-ethyl-3-(3-fluorobenzyl)-7-(piperazin-1-yl)-3H-imidazo[4,5-b]pyridine",5-HT6 exploratory candidate,Chemical / small molecule,5-HT6 receptor,No,No,No,No,Yes,0.9384394288063049,High,Unvalidated,E,,3,0.25,0.6784856287240982,PubMed,2018,29291439,,European journal of medicinal chemistry,10.1016/j.ejmech.2017.12.053,"Novel non-sulfonamide 5-HT6 receptor partial inverse agonist in a group of imidazo[4,5-b]pyridines with cognition enhancing properties.",https://pubmed.ncbi.nlm.nih.gov/29291439/,126720440,CCC1=NC2=C(C=CN=C2N1CC3=CC(=CC=C3)F)N4CCNCC4,1,"2-ethyl-3-(3-fluorobenzyl)-7-(piperazin-1-yl)-3H-imidazo[4,5-b]pyridine currently has an ML prediction but requires stronger receptor-specific literature validation.",Literature validation needed before experimental priority,0.6255636572837829,Medium
30,erythromycin propionate-N-acetylcysteinate,5-HT6 exploratory candidate,Chemical / small molecule,5-HT6 receptor,No,No,No,No,Yes,0.937557578086853,High,Unvalidated,E,,1,0.25,0.6739124257564545,PubMed + PMC,2021,33357407,PMC7815944,Stem cell reports,10.1016/j.stemcr.2020.11.015,Constitutive Activity of Serotonin Receptor 6 Regulates Human Cerebral Organoids Formation and Depression-like Behaviors.,https://pubmed.ncbi.nlm.nih.gov/33357407/,71276,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)OC(=O)CC)(C)O)C)C)O)(C)O.CC(=O)NC(CS)C(=O)O,1,erythromycin propionate-N-acetylcysteinate currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority,0.6250345468521118,Medium
