Rank,Molecule,Candidate Type,Related Receptor,GPR62,GPR61,GPR135,MT2,5-HT6,GPCRLigNet Score,ML Prediction,Experimental Validation,Evidence Level,Evidence Sentence,Priority Score,Literature Score,Receptor Relevance,Database,Year,PMID,PMCID,Journal,Authors,DOI,Article Title,PubMed Link,PMC Link,PubChem CID,SMILES,Paper Count,Interpretation,Recommended Next Step,Article Link
2,luzindole,MT2-related exploratory candidate,MT2 receptor,No,No,No,Yes,No,0.9529802799224854,High,Unvalidated,E,,0.8444371819496155,68,0.5,PubMed,2023,37394096,,Life sciences,Vicente JM; Lescano CH; Bordin S; Mónica FZ; Gobbi G; Anhê GF,10.1016/j.lfs.2023.121906,Agomelatine inhibits platelet aggregation through melatonin receptor-dependent and independent mechanisms.,https://pubmed.ncbi.nlm.nih.gov/37394096/,,122162,CC(=O)NCCC1=C(NC2=CC=CC=C21)CC3=CC=CC=C3,23,luzindole currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority,https://pubmed.ncbi.nlm.nih.gov/37394096/
2,luzindole,MT2-related exploratory candidate,MT2 receptor,No,No,No,Yes,No,0.9529802799224854,High,Unvalidated,E,,0.8444371819496155,68,0.5,PubMed + PMC,2023,36982863,PMC10051954,International journal of molecular sciences,Li KL; Shan SW; Lin FY; Ling CY; Wong NW; Li HL; Han W; To CH; Do CW,10.3390/ijms24065789,Regulation of Aqueous Humor Secretion by Melatonin in Porcine Ciliary Epithelium.,https://pubmed.ncbi.nlm.nih.gov/36982863/,https://pmc.ncbi.nlm.nih.gov/articles/PMC10051954/,122162,CC(=O)NCCC1=C(NC2=CC=CC=C21)CC3=CC=CC=C3,23,luzindole currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority,https://pubmed.ncbi.nlm.nih.gov/36982863/
2,luzindole,MT2-related exploratory candidate,MT2 receptor,No,No,No,Yes,No,0.9529802799224854,High,Unvalidated,E,,0.8444371819496155,68,0.5,PubMed + PMC,2023,36799176,PMC9942260,Molecular medicine reports,Wang X; Wang W; Zhang R; Ma B; Ni L; Feng H; Liu C,10.3892/mmr.2023.12958,Melatonin attenuates high glucose‑induced endothelial cell pyroptosis by activating the Nrf2 pathway to inhibit NLRP3 inflammasome activation.,https://pubmed.ncbi.nlm.nih.gov/36799176/,https://pmc.ncbi.nlm.nih.gov/articles/PMC9942260/,122162,CC(=O)NCCC1=C(NC2=CC=CC=C21)CC3=CC=CC=C3,23,luzindole currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority,https://pubmed.ncbi.nlm.nih.gov/36799176/
2,luzindole,MT2-related exploratory candidate,MT2 receptor,No,No,No,Yes,No,0.9529802799224854,High,Unvalidated,E,,0.8444371819496155,68,0.5,PubMed,2023,36592515,,Theriogenology,Ma J; Wang J; Hu S; Li Y; Zhang Y; Yang Y; Yang C; Huo S; Yang Y; Zhaxi Y; Luo W,10.1016/j.theriogenology.2022.12.036,Effects of melatonin on development and hormone secretion of sheep theca cells in vitro.,https://pubmed.ncbi.nlm.nih.gov/36592515/,,122162,CC(=O)NCCC1=C(NC2=CC=CC=C21)CC3=CC=CC=C3,23,luzindole currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority,https://pubmed.ncbi.nlm.nih.gov/36592515/
2,luzindole,MT2-related exploratory candidate,MT2 receptor,No,No,No,Yes,No,0.9529802799224854,High,Unvalidated,E,,0.8444371819496155,68,0.5,PubMed,2022,36018566,,Reproduction in domestic animals = Zuchthygiene,Ge W; Duan H; Zeng J; Zhao X; Li J; Hu J,10.1111/rda.14237,Melatonin protects sheep endometrial epithelial cells against lipopolysaccharide-induced inflammation in vitro.,https://pubmed.ncbi.nlm.nih.gov/36018566/,,122162,CC(=O)NCCC1=C(NC2=CC=CC=C21)CC3=CC=CC=C3,23,luzindole currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority,https://pubmed.ncbi.nlm.nih.gov/36018566/
2,luzindole,MT2-related exploratory candidate,MT2 receptor,No,No,No,Yes,No,0.9529802799224854,High,Unvalidated,E,,0.8444371819496155,68,0.5,PubMed,2022,35932205,,Animal science journal = Nihon chikusan Gakkaiho,Wang W; Lv J; Duan H; Ding Z; Zeng J; Lv C; Hu J; Zhang Y; Zhao X,10.1111/asj.13760,"Regulatory role of melatonin on epidermal growth factor receptor, Type I collagen α1 chain, and caveolin 1 in granulosa cells of sheep antral follicles.",https://pubmed.ncbi.nlm.nih.gov/35932205/,,122162,CC(=O)NCCC1=C(NC2=CC=CC=C21)CC3=CC=CC=C3,23,luzindole currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority,https://pubmed.ncbi.nlm.nih.gov/35932205/
2,luzindole,MT2-related exploratory candidate,MT2 receptor,No,No,No,Yes,No,0.9529802799224854,High,Unvalidated,E,,0.8444371819496155,68,0.5,PubMed + PMC,2022,35795373,PMC9251177,Frontiers in cardiovascular medicine,Li SJ; Cheng WL; Kao YH; Chung CC; Trang NN; Chen YJ,10.3389/fcvm.2022.885293,Melatonin Inhibits NF-κB/CREB/Runx2 Signaling and Alleviates Aortic Valve Calcification.,https://pubmed.ncbi.nlm.nih.gov/35795373/,https://pmc.ncbi.nlm.nih.gov/articles/PMC9251177/,122162,CC(=O)NCCC1=C(NC2=CC=CC=C21)CC3=CC=CC=C3,23,luzindole currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority,https://pubmed.ncbi.nlm.nih.gov/35795373/
2,luzindole,MT2-related exploratory candidate,MT2 receptor,No,No,No,Yes,No,0.9529802799224854,High,Unvalidated,E,,0.8444371819496155,68,0.5,PubMed + PMC,2022,35682961,PMC9181011,International journal of molecular sciences,Fernández-Alegre E; Lacalle E; Soriano-Úbeda C; González-Montaña JR; Domínguez JC; Casao A; Martínez-Pastor F,10.3390/ijms23116284,Bos taurus and Cervus elaphus as Non-Seasonal/Seasonal Models for the Role of Melatonin Receptors in the Spermatozoon.,https://pubmed.ncbi.nlm.nih.gov/35682961/,https://pmc.ncbi.nlm.nih.gov/articles/PMC9181011/,122162,CC(=O)NCCC1=C(NC2=CC=CC=C21)CC3=CC=CC=C3,23,luzindole currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority,https://pubmed.ncbi.nlm.nih.gov/35682961/
2,luzindole,MT2-related exploratory candidate,MT2 receptor,No,No,No,Yes,No,0.9529802799224854,High,Unvalidated,E,,0.8444371819496155,68,0.5,PubMed + PMC,2022,35588335,PMC11072751,Cellular and molecular life sciences : CMLS,Singhanat K; Apaijai N; Sumneang N; Maneechote C; Arunsak B; Chunchai T; Chattipakorn SC; Chattipakorn N,10.1007/s00018-022-04330-1,Therapeutic potential of a single-dose melatonin in the attenuation of cardiac ischemia/reperfusion injury in prediabetic obese rats.,https://pubmed.ncbi.nlm.nih.gov/35588335/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11072751/,122162,CC(=O)NCCC1=C(NC2=CC=CC=C21)CC3=CC=CC=C3,23,luzindole currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority,https://pubmed.ncbi.nlm.nih.gov/35588335/
2,luzindole,MT2-related exploratory candidate,MT2 receptor,No,No,No,Yes,No,0.9529802799224854,High,Unvalidated,E,,0.8444371819496155,68,0.5,PubMed + PMC,2022,35455066,PMC9029934,"Life (Basel, Switzerland)",Yapislar H; Haciosmanoglu E; Sarioglu T; Degirmencioglu S; Sogut I; Poteser M; Ekmekcioglu C,10.3390/life12040574,Anti-Inflammatory Effects of Melatonin in Rats with Induced Type 2 Diabetes Mellitus.,https://pubmed.ncbi.nlm.nih.gov/35455066/,https://pmc.ncbi.nlm.nih.gov/articles/PMC9029934/,122162,CC(=O)NCCC1=C(NC2=CC=CC=C21)CC3=CC=CC=C3,23,luzindole currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority,https://pubmed.ncbi.nlm.nih.gov/35455066/
2,luzindole,MT2-related exploratory candidate,MT2 receptor,No,No,No,Yes,No,0.9529802799224854,High,Unvalidated,E,,0.8444371819496155,68,0.5,PubMed,2022,35247789,,Tissue & cell,Yapislar H; Haciosmanoglu E; Sarioglu T; Ekmekcioglu C,10.1016/j.tice.2022.101763,The melatonin MT2 receptor is involved in the anti-apoptotic effects of melatonin in rats with type 2 diabetes mellitus.,https://pubmed.ncbi.nlm.nih.gov/35247789/,,122162,CC(=O)NCCC1=C(NC2=CC=CC=C21)CC3=CC=CC=C3,23,luzindole currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority,https://pubmed.ncbi.nlm.nih.gov/35247789/
2,luzindole,MT2-related exploratory candidate,MT2 receptor,No,No,No,Yes,No,0.9529802799224854,High,Unvalidated,E,,0.8444371819496155,68,0.5,PubMed,2022,35179400,,Current eye research,Xu J; Chen P; Zhao G; Wei S; Li Q; Guo C; Cao Q; Wu X; Di G,10.1080/02713683.2021.2022163,Copolymer Micelle-administered Melatonin Ameliorates Hyperosmolarity-induced Ocular Surface Damage through Regulating PINK1-mediated Mitophagy.,https://pubmed.ncbi.nlm.nih.gov/35179400/,,122162,CC(=O)NCCC1=C(NC2=CC=CC=C21)CC3=CC=CC=C3,23,luzindole currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority,https://pubmed.ncbi.nlm.nih.gov/35179400/
2,luzindole,MT2-related exploratory candidate,MT2 receptor,No,No,No,Yes,No,0.9529802799224854,High,Unvalidated,E,,0.8444371819496155,68,0.5,PubMed,2022,34910685,,Journal of molecular endocrinology,Zhang W; Zhang Z; Peng J; Yang S; Tong D,10.1530/JME-21-0155,Effects of melatonin on the production of GnRH and LH in luteal cells of pregnant sows.,https://pubmed.ncbi.nlm.nih.gov/34910685/,,122162,CC(=O)NCCC1=C(NC2=CC=CC=C21)CC3=CC=CC=C3,23,luzindole currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority,https://pubmed.ncbi.nlm.nih.gov/34910685/
2,luzindole,MT2-related exploratory candidate,MT2 receptor,No,No,No,Yes,No,0.9529802799224854,High,Unvalidated,E,,0.8444371819496155,68,0.5,PubMed,2022,34642909,,"Reproductive sciences (Thousand Oaks, Calif.)",Barberino RS; Lins TLBG; Monte APO; Gouveia BB; Campinho DSP; Palheta RC; Smitz JEJ; Matos MHT,10.1007/s43032-021-00768-z,Melatonin Attenuates Cyclophosphamide-Induced Primordial Follicle Loss by Interaction with MT1 Receptor and Modulation of PTEN/Akt/FOXO3a Proteins in the Mouse Ovary.,https://pubmed.ncbi.nlm.nih.gov/34642909/,,122162,CC(=O)NCCC1=C(NC2=CC=CC=C21)CC3=CC=CC=C3,23,luzindole currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority,https://pubmed.ncbi.nlm.nih.gov/34642909/
3,Retinaldehyde,Close/related orphan GPCR candidate,GPR135,No,No,Yes,No,No,0.9044342041015625,High,Unvalidated,E,,0.7813822326660157,3,0.75,PubMed,2014,24503482,,Molecular phylogenetics and evolution,Kakarala KK; Jamil K,10.1016/j.ympev.2014.01.022,Sequence-structure based phylogeny of GPCR Class A Rhodopsin receptors.,https://pubmed.ncbi.nlm.nih.gov/24503482/,,638015,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=O)C)C,1,Retinaldehyde currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority,https://pubmed.ncbi.nlm.nih.gov/24503482/
4,dorsomorphin,MT2-related exploratory candidate,MT2 receptor,No,No,No,Yes,No,0.9938246011734009,High,Unvalidated,E,,0.7769859907627106,3,0.5,PubMed + PMC,2025,40871079,PMC12389105,Pharmaceutics,Gauthereau-Torres MY; Martínez-Guillen JS; Cervantes-Durán C; Gutiérrez-García CJ; Godínez-Hernández D; Aguilera Méndez A; Ortega-Varela LF,10.3390/pharmaceutics17081057,Preclinical Assessment of a Metformin-Melatonin Combination: Antinociceptive Synergism.,https://pubmed.ncbi.nlm.nih.gov/40871079/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12389105/,11524144,C1CCN(CC1)CCOC2=CC=C(C=C2)C3=CN4C(=C(C=N4)C5=CC=NC=C5)N=C3,1,dorsomorphin currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority,https://pubmed.ncbi.nlm.nih.gov/40871079/
5,SCHEMBL7562664,MT2-related exploratory candidate,MT2 receptor,No,No,No,Yes,No,0.9779346585273743,High,Unvalidated,E,,0.7666575280427933,3,0.5,PubMed,2025,40424842,,Journal of molecular graphics & modelling,Hashemi SMJ; Ghalehnoei H; Barzegar A; Feizi-Dehnayebi M; Akhtari J; Mellati A,10.1016/j.jmgm.2025.109086,In silico discovery of multi-target small molecules and efficient siRNA design to overcome drug resistance in breast cancer via local therapy.,https://pubmed.ncbi.nlm.nih.gov/40424842/,,70130285,CC(CCC(=C(C)C)CCO)C1CCC2C1(CCC3C2CC=C4C3(CCCC4)C)C,1,SCHEMBL7562664 currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority,https://pubmed.ncbi.nlm.nih.gov/40424842/
6,haloperidol decanoate,MT2-related exploratory candidate,MT2 receptor,No,No,No,Yes,No,0.9746153354644775,High,Indirect/context evidence,D,"High-dose Agomelatine Combined with Haloperidol Decanoate Improves Cognition, Downregulates MT2, Upregulates D5, and Maintains Krüppel-like Factor 9 But Alters Cardiac Electrophysiology.",0.7604999680519104,1,0.5,PubMed,2024,38816228,,The Journal of pharmacology and experimental therapeutics,Abdelmissih S; Abdelgwad M; Ali DME; Negm MSI; Eshra MA; Youssef A,10.1124/jpet.123.002087,"High-dose Agomelatine Combined with Haloperidol Decanoate Improves Cognition, Downregulates MT2, Upregulates D5, and Maintains Krüppel-like Factor 9 But Alters Cardiac Electrophysiology.",https://pubmed.ncbi.nlm.nih.gov/38816228/,,52919,CCCCCCCCCC(=O)OC1(CCN(CC1)CCCC(=O)C2=CC=C(C=C2)F)C3=CC=C(C=C3)Cl,1,"haloperidol decanoate appears in literature related to MT2 receptor, but direct receptor interaction has not been established.",Review full article for direct receptor evidence,https://pubmed.ncbi.nlm.nih.gov/38816228/
7,Sirolimus,5-HT6 exploratory candidate,5-HT6 receptor,No,No,No,No,Yes,0.997548520565033,High,Unvalidated,E,,0.7489065383672715,19,0.25,PubMed,2025,40757510,,Journal of neurochemistry,Mokhtar N; Drop M; Delay L; Rondón LJ; Costerousse L; Chapuy E; Prival L; Lamaty F; Bantreil X; Canale V; Marin P; Zajdel P; Doly S; Courteix C,10.1111/jnc.70179,5-HT6 Receptor Inverse Agonists Modulate Diabetic Neuropathic Pain in Female Rats: Evidence for 5-HT6 Receptor Constitutive Activity.,https://pubmed.ncbi.nlm.nih.gov/40757510/,,5284616,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC,6,Sirolimus currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority,https://pubmed.ncbi.nlm.nih.gov/40757510/
7,Sirolimus,5-HT6 exploratory candidate,5-HT6 receptor,No,No,No,No,Yes,0.997548520565033,High,Unvalidated,E,,0.7489065383672715,19,0.25,PubMed + PMC,2025,40069248,PMC11897353,Scientific reports,Alcaíno JM; Vera G; Almarza G; Lagos CF; Terraza CA; Del Campo A; Recabarren-Gajardo G,10.1038/s41598-025-92755-6,Novel 5-HT6R modulators as mTOR-dependent neuronal autophagy inductors.,https://pubmed.ncbi.nlm.nih.gov/40069248/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11897353/,5284616,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC,6,Sirolimus currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority,https://pubmed.ncbi.nlm.nih.gov/40069248/
7,Sirolimus,5-HT6 exploratory candidate,5-HT6 receptor,No,No,No,No,Yes,0.997548520565033,High,Unvalidated,E,,0.7489065383672715,19,0.25,PubMed + PMC,2023,36830733,PMC9953062,Biomolecules,Mokhtar N; Drop M; Jacquot F; Lamoine S; Chapuy E; Prival L; Aissouni Y; Canale V; Lamaty F; Zajdel P; Marin P; Doly S; Courteix C,10.3390/biom13020364,The Constitutive Activity of Spinal 5-HT6 Receptors Contributes to Diabetic Neuropathic Pain in Rats.,https://pubmed.ncbi.nlm.nih.gov/36830733/,https://pmc.ncbi.nlm.nih.gov/articles/PMC9953062/,5284616,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC,6,Sirolimus currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority,https://pubmed.ncbi.nlm.nih.gov/36830733/
7,Sirolimus,5-HT6 exploratory candidate,5-HT6 receptor,No,No,No,No,Yes,0.997548520565033,High,Unvalidated,E,,0.7489065383672715,19,0.25,PubMed + PMC,2021,34576341,PMC8467191,International journal of molecular sciences,Doucet E; Grychowska K; Zajdel P; Bockaert J; Marin P; Bécamel C,10.3390/ijms221810178,Blockade of Serotonin 5-HT6 Receptor Constitutive Activity Alleviates Cognitive Deficits in a Preclinical Model of Neurofibromatosis Type 1.,https://pubmed.ncbi.nlm.nih.gov/34576341/,https://pmc.ncbi.nlm.nih.gov/articles/PMC8467191/,5284616,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC,6,Sirolimus currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority,https://pubmed.ncbi.nlm.nih.gov/34576341/
