Rank,Molecule,Candidate Type,Entity Class,Related Receptors,GPR62,GPR61,GPR135,MT2,5-HT6,GPCRLigNet Score,ML Prediction,Experimental Validation,Evidence Level,Evidence Sentence,Literature Score,Receptor Relevance,Priority Score,Source,Years,PMIDs,PMCIDs,Journals,DOIs,Article Titles,Article Links,PubChem CID,SMILES,Paper Count,Interpretation,Recommended Next Step
11,GSK215083,5-HT6 exploratory candidate,Chemical / small molecule,5-HT6 receptor,No,No,No,No,Yes,0.968027651309967,High,Direct receptor evidence,C,Human Kinetic Modeling of the 5HT6 PET Radioligand 11C-GSK215083 and Its Utility for Determining Occupancy at Both 5HT6 and 5HT2A Receptors by SB742457 as a Potential Therapeutic Mechanism of Action in Alzheimer Disease.,12,0.25,0.7157179733514786,PubMed + PMC,2015; 2018; 2020,25331460; 26383152; 29626125; 31760336,PMC6126437,"European journal of nuclear medicine and molecular imaging; Journal of nuclear medicine : official publication, Society of Nuclear Medicine; Psychiatry research. Neuroimaging",10.1007/s00259-014-2936-y; 10.1016/j.pscychresns.2019.111007; 10.2967/jnumed.115.162743; 10.2967/jnumed.117.206516,In vivo 5-HT6 and 5-HT2A receptor availability in antipsychotic treated schizophrenia patients vs. unmedicated healthy humans measured with [11C]GSK215083 PET. | Age-Related Change in 5-HT6 Receptor Availability in Healthy Male Volunteers Measured with 11C-GSK215083 PET. | Human Kinetic Modeling of the 5HT6 PET Radioligand 11C-GSK215083 and Its Utility for Determining Occupancy at Both 5HT6 and 5HT2A Receptors by SB742457 as a Potential Therapeutic Mechanism of Action in Alzheimer Disease. | Preclinical evaluation of [18F]2FNQ1P as the first fluorinated serotonin 5-HT6 radioligand for PET imaging.,https://pubmed.ncbi.nlm.nih.gov/31760336/ | https://pubmed.ncbi.nlm.nih.gov/29626125/ | https://pubmed.ncbi.nlm.nih.gov/26383152/ | https://pubmed.ncbi.nlm.nih.gov/25331460/,10172764,CN1CCN(CC1)C2=CC=CC3=CC(=CN=C32)S(=O)(=O)C4=CC=CC(=C4)F,4,GSK215083 has experimental receptor evidence involving 5-HT6 receptor and is being evaluated as a possible GPR62 candidate.,Prioritize for GPR62 binding/signaling assay
12,PRX-07034,5-HT6 exploratory candidate,Chemical / small molecule,5-HT6 receptor,No,No,No,No,Yes,0.9859885573387146,High,Indirect/context evidence,D,Low-dose prazosin in combination with 5-HT6 antagonist PRX-07034 has antipsychotic effects.,6,0.25,0.7153925622701646,PubMed,2015,25429515,,Canadian journal of physiology and pharmacology,10.1139/cjpp-2014-0254,Low-dose prazosin in combination with 5-HT6 antagonist PRX-07034 has antipsychotic effects.,https://pubmed.ncbi.nlm.nih.gov/25429515/,23653584,CC(C1=C(C(=CC(=C1)Cl)OC)OC)NC2=C(C=CC(=C2)N3CCNCC3)S(=O)(=O)C.Cl,1,"PRX-07034 appears in literature related to 5-HT6 receptor, but direct receptor interaction has not been established.",Review full article for direct receptor evidence
13,SB699551,5-HT6 exploratory candidate,Chemical / small molecule,5-HT6 receptor,No,No,No,No,Yes,0.9950779676437378,High,Unvalidated,E,,3,0.25,0.7153006789684296,PubMed,2019,31233821,,Behavioural brain research,10.1016/j.bbr.2019.112055,"The blockade of the serotoninergic receptors 5-HT5A, 5-HT6 and 5-HT7 in the basolateral amygdala, but not in the hippocampus facilitate the extinction of fear memory.",https://pubmed.ncbi.nlm.nih.gov/31233821/,11983346,CN(C)CCN(CC1=CC=C(C=C1)C2=CC=C(C=C2)CNCCC3=CC=CC=C3)C(=O)CCC4CCCC4.Cl.Cl,1,SB699551 currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority
14,Dexamethasone,MT2-related exploratory candidate,Chemical / small molecule,MT2 receptor,No,No,No,Yes,No,0.9021515846252441,High,Unvalidated,E,,0,0.5,0.7113985300064087,PubMed,2025,40480639,,Brain research,10.1016/j.brainres.2025.149760,Corticosteroid-induced gene expression is attenuated in the hippocampus of mice with model of post-traumatic stress disorder.,https://pubmed.ncbi.nlm.nih.gov/40480639/,5743,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C,1,Dexamethasone currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority
15,PHTPP,MT2-related exploratory candidate,Chemical / small molecule,MT2 receptor,No,No,No,Yes,No,0.8973512053489685,High,Unvalidated,E,,1,0.5,0.7102782834768295,PubMed,2022,34971752,,Gene,10.1016/j.gene.2021.146128,β-Estradiol inhibits melatonin synthesis and melatonin receptor expression in sheep granulosa cells.,https://pubmed.ncbi.nlm.nih.gov/34971752/,11201035,C1=CC=C(C=C1)C2=NN3C(=CC(=NC3=C2C4=CC=C(C=C4)O)C(F)(F)F)C(F)(F)F,1,PHTPP currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority
16,N-pentanoyl-2-benzyltryptamine,MT2-related exploratory candidate,Chemical / small molecule,MT2 receptor,No,No,No,Yes,No,0.8888981342315674,High,Unvalidated,E,,3,0.5,0.7087837872505188,PubMed,2025,39537039,,The Journal of nutritional biochemistry,10.1016/j.jnutbio.2024.109800,Proposed receptor-mediated mechanisms of melatonin in nitroglycerin-induced migraine-like hyperalgesic conditions in rats.,https://pubmed.ncbi.nlm.nih.gov/39537039/,3467177,CCCCC(=O)NCCC1=C(NC2=CC=CC=C21)CC3=CC=CC=C3,1,N-pentanoyl-2-benzyltryptamine currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority
17,volinanserin,5-HT6 exploratory candidate,Chemical / small molecule,5-HT6 receptor,No,No,No,No,Yes,0.9735018610954285,High,Unvalidated,E,,6,0.25,0.7072762097120285,PubMed + PMC,2013; 2014,23954911; 25287308,PMC3889519,Acta neuropsychiatrica; Psychopharmacology,10.1007/s00213-013-3234-2; 10.1111/j.1601-5215.2012.00669.x,"Co-administration of 5-HT6 receptor antagonists with clozapine, risperidone, and a 5-HT2A receptor antagonist: effects on prepulse inhibition in rats. | 5-HT depletion, but not 5-HT1A antagonist, prevents the anxiolytic-like effect of citalopram in rat contextual conditioned fear stress model.",https://pubmed.ncbi.nlm.nih.gov/23954911/ | https://pubmed.ncbi.nlm.nih.gov/25287308/,5311271,COC1=CC=CC(=C1OC)C(C2CCN(CC2)CCC3=CC=C(C=C3)F)O,2,volinanserin currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority
18,C-Peptide,MT2-related exploratory candidate,Chemical / small molecule,MT2 receptor,No,No,No,Yes,No,0.8889027237892151,High,Unvalidated,E,,2,0.5,0.7067867704629899,PubMed + PMC,2024,39180581,PMC12716172,Diabetologia,10.1007/s00125-024-06256-8,Genetics of glucose homeostasis in pregnancy and postpartum.,https://pubmed.ncbi.nlm.nih.gov/39180581/,16157840,CC(C)CC(C(=O)NC(C)C(=O)NC(CC(C)C)C(=O)NC(CCC(=O)O)C(=O)NCC(=O)NC(CO)C(=O)NC(CC(C)C)C(=O)NC(CCC(=O)N)C(=O)O)NC(=O)C1CCCN1C(=O)C(CCC(=O)N)NC(=O)C(CC(C)C)NC(=O)C(CO)NC(=O)CNC(=O)C(C)NC(=O)CNC(=O)C2CCCN2C(=O)CNC(=O)CNC(=O)CNC(=O)C(CC(C)C)NC(=O)C(CCC(=O)O)NC(=O)C(C(C)C)NC(=O)C(CCC(=O)N)NC(=O)CNC(=O)C(C(C)C)NC(=O)C(CCC(=O)N)NC(=O)C(CC(C)C)NC(=O)C(CC(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(C)NC(=O)C(CCC(=O)O)N,1,C-Peptide currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority
19,Doxorubicin,5-HT6 exploratory candidate,Chemical / small molecule,5-HT6 receptor,No,No,No,No,Yes,0.9690977334976196,High,Unvalidated,E,,3,0.25,0.6984135267734528,PubMed,2021,33439019,,Journal of medicinal chemistry,10.1021/acs.jmedchem.0c02009,Imidazopyridine-Based 5-HT6 Receptor Neutral Antagonists: Impact of N1-Benzyl and N1-Phenylsulfonyl Fragments on Different Receptor Conformational States.,https://pubmed.ncbi.nlm.nih.gov/33439019/,31703,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O,1,Doxorubicin currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority
20,N-arachidonylglycine,Close/related orphan GPCR candidate,Chemical / small molecule,GPR135,No,No,Yes,No,No,0.7752114534378052,Moderate,Unvalidated,E,,3,0.75,0.6973874447345734,PubMed,2014,24503482,,Molecular phylogenetics and evolution,10.1016/j.ympev.2014.01.022,Sequence-structure based phylogeny of GPCR Class A Rhodopsin receptors.,https://pubmed.ncbi.nlm.nih.gov/24503482/,5283389,CCCCCC=CCC=CCC=CCC=CCCCC(=O)NCC(=O)O,1,N-arachidonylglycine currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority
